paper_title,first_author_year,antibody_name,antibody_type,manufacturer,catalog_number,labeling_stage,dilution
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-ARL13B,primary,Abcam,ab83879,pre-expansion,1:300
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-ARL13B,primary,Abcam,ab83879,post-expansion,1:150
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,mouse anti-Rootletin,primary,Santa Cruz,sc-374056,pre-expansion,1:200
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,mouse anti-Rootletin,primary,Santa Cruz,sc-374056,post-expansion,1:50
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-beta tubulin,primary,Abcam,ab15568,post-expansion,1:250
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-Cep164,primary,Proteintech,22227-1-AP,post-expansion,1:500
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-ANKRD26,primary,GeneTex,GTX128255,post-expansion,1:200
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-FBF1,primary,Sigma,HPA023677,post-expansion,1:100
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-RPGRIP1L,primary,Proteintech,55160-1-AP,post-expansion,1:150
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-IFT88,primary,Proteintech,13967-1-AP,post-expansion,1:150
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-pericentrin,primary,Abcam,ab4448,post-expansion,1:400
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-Cep290,primary,Abcam,ab84870,post-expansion,1:150
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-polyglutamylated tubulin,primary,AdipoGen,AG-25B-0030,post-expansion,1:800
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,rabbit anti-ARL13B (conventional),primary,Abcam,ab83879,pre-expansion,1:300
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,CF647 antimouse (Biotium),secondary,Biotium,20042,pre-expansion,1:800
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,CF647 antirabbit (Biotium),secondary,Biotium,20045,pre-expansion,1:800
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,CF568 antirabbit (Biotium),secondary,Biotium,20099,pre-expansion,1:800
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,AF488 antimouse,secondary,Invitrogen,A11019,pre-expansion,1:800
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,AF488 antirabbit,secondary,Invitrogen,A11034,pre-expansion,1:800
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,antimouse Alexa Fluor 488,secondary,Invitrogen,A11029,post-expansion,1:800
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,antirabbit Alexa Fluor 488,secondary,Invitrogen,A11034,post-expansion,1:800
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,antimouse Alexa Fluor 555,secondary,Invitrogen,A28180,post-expansion,1:800
Expansion microscopy for the analysis of centrioles and cilia,SAHABANDU 2019,antirabbit Alexa Fluor 555,secondary,Invitrogen,A21429,post-expansion,1:800
Expansion microscopy reveals characteristic ultrastructural features of pathogenic budding yeast species,,"anti-Nop1 [anti-fibrillarin antibody [38F3], nucleolar marker (ab4566)]",primary,Abcam,ab4566,post-expansion,1:500
Expansion microscopy reveals characteristic ultrastructural features of pathogenic budding yeast species,,anti-GFP (mouse),primary,Roche,11814460001,post-expansion,1:500
Expansion microscopy reveals characteristic ultrastructural features of pathogenic budding yeast species,,Alexa Fluor 488-conjugated goat anti-mouse IgG,secondary,Invitrogen,A11001,post-expansion,1:500
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,rat anti-alpha tubulin,primary,Thermo Fisher Scientific,MA1-80017,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,rabbit anti-detyrosinated tubulin,primary,Abcam,ab48389,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,mouse anti-HEC1,primary,Abcam,ab3613,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,rabbit anti-TOM20,primary,Santa Cruz Biotechnology,sc-11415,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,rabbit anti-GFP,primary,Life Technologies,A31857,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,chicken anti-GFP,primary,Thermo Fisher Scientific,A10262,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,rabbit anti-Homer1,primary,Synaptic Systems,160003,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,mouse anti-Bassoon,primary,Abcam,ab82958,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,donkey anti-rat (unconjugated),secondary,Jackson Immunoresearch,712-005-151,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,donkey anti-rabbit (unconjugated),secondary,Jackson Immunoresearch,711-005-152,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,donkey anti-mouse (unconjugated),secondary,Jackson Immunoresearch,715-005-151,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,donkey anti-chicken (unconjugated),secondary,Jackson Immunoresearch,703-005-155,pre-expansion,
Expansion microscopy with conventional antibodies and fluorescent proteins,Chozinski 2016,Alexa Fluor 488 conjugated donkey anti-rat,secondary,Jackson Immunoresearch,712-545-150,pre-expansion,
Expansion microscopy with ninefold swelling (NIFS) hydrogel permits cellular ultrastructure imaging on conventional microscope,Li 2022,Mouse anti–α-tubulin antibody,primary,Yeason,30304ES40,pre-expansion,
Expansion microscopy with ninefold swelling (NIFS) hydrogel permits cellular ultrastructure imaging on conventional microscope,Li 2022,anti-clathrin heavy chain antibody,primary,Abcam,ab172958,pre-expansion,
Expansion microscopy with ninefold swelling (NIFS) hydrogel permits cellular ultrastructure imaging on conventional microscope,Li 2022,anti-Nup153 antibody,primary,Abcam,ab24700,pre-expansion,
Expansion microscopy with ninefold swelling (NIFS) hydrogel permits cellular ultrastructure imaging on conventional microscope,Li 2022,Alexa Fluor 488 donkey anti-rabbit immunoglobulin G (IgG),secondary,BioLegend,406416,pre-expansion,
Expansion microscopy with ninefold swelling (NIFS) hydrogel permits cellular ultrastructure imaging on conventional microscope,Li 2022,Alexa Fluor 594 goat anti-mouse IgG (H+L),secondary,Yeason,34112ES60,pre-expansion,
Expansion microscopy with ninefold swelling (NIFS) hydrogel permits cellular ultrastructure imaging on conventional microscope,Li 2022,Alexa Fluor 488 goat anti-mouse IgG (H+L),secondary,Yeason,33206ES60,pre-expansion,
Expansion Microscopy-based imaging for visualization of mitochondria in Drosophila ovarian germline stem cells,Lin 2022,mouse monoclonal anti-ATP5a antibody [15H4C4],primary,Abcam,ab14748,pre-expansion,1:500
Expansion Microscopy-based imaging for visualization of mitochondria in Drosophila ovarian germline stem cells,Lin 2022,mouse monoclonal anti-Lam C antibody,primary,Developmental Studies Hybridoma Bank,LC28.26,pre-expansion,1:50
Expansion Microscopy-based imaging for visualization of mitochondria in Drosophila ovarian germline stem cells,Lin 2022,mouse monoclonal anti-Hts antibody,primary,Developmental Studies Hybridoma Bank,1B1,pre-expansion,1:50
Expansion Microscopy-based imaging for visualization of mitochondria in Drosophila ovarian germline stem cells,Lin 2022,"Goat anti-mouse IgG (H + L) cross-adsorbed secondary antibody, Biotin-XX",secondary,Thermo Fisher Scientific,B2763,pre-expansion,1:200
Hybrid Structured Illumination Expansion Microscopy Reveals Microbial Cytoskeleton Organization,Halpern 2017,unconjugated donkey anti-rat,secondary,Jackson Immunoresearch,712-005-151,pre-expansion,
Hybrid Structured Illumination Expansion Microscopy Reveals Microbial Cytoskeleton Organization,Halpern 2017,donkey anti-mouse,secondary,Jackson Immunoresearch,715-005-151,pre-expansion,
Hybrid Structured Illumination Expansion Microscopy Reveals Microbial Cytoskeleton Organization,Halpern 2017,rabbit anti-mouse,secondary,Jackson Immunoresearch,315-005-003,pre-expansion,
Hybrid Structured Illumination Expansion Microscopy Reveals Microbial Cytoskeleton Organization,Halpern 2017,Alexa Fluor 488 donkey anti-rat antibody,secondary,Jackson Immunoresearch,712-545-150,pre-expansion,
Hybrid Structured Illumination Expansion Microscopy Reveals Microbial Cytoskeleton Organization,Halpern 2017,mouse anti-acetylated tubulin (clone 6–11B-1),primary,Sigma-Aldrich,T7451,pre-expansion,
Hybrid Structured Illumination Expansion Microscopy Reveals Microbial Cytoskeleton Organization,Halpern 2017,rat anti-HA (clone 3F10),primary,Sigma-Aldrich,11867423001,pre-expansion,
Iterative expansion microscopy,Chang 2017,rabbit anti-beta tubulin,primary,Abcam,ab6046,pre-expansion,1:100
Iterative expansion microscopy,Chang 2017,rabbit anti-Homer1,primary,Synaptic systems,160003,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,guinea pig anti-Homer1,primary,Synaptic systems,160004,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,mouse anti-Homer1,primary,Synaptic systems,160011,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,mouse anti-Bassoon,primary,Enzo,ADI-VAM-PS003-F,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,guinea pig anti-Bassoon,primary,Synaptic systems,141004,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,mouse anti-Gephyrin,primary,Synaptic systems,147011,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,rabbit anti-GABAARα1,primary,Synaptic systems,224203,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,rabbit anti-GABAARα2,primary,Synaptic systems,224103,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,rabbit anti-GluR1,primary,Abcam,ab31232,pre-expansion,1:100
Iterative expansion microscopy,Chang 2017,guinea pig anti-TagRFP,primary,Kerafast,EMU107,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,rabbit anti-mCherry,primary,Abcam,ab167453,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,rat anti-mCherry,primary,ThermoFisher,M11217,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,rat anti-mTFP,primary,Kerafast,EMU103,pre-expansion,1:200
Iterative expansion microscopy,Chang 2017,chicken anti-GFP,primary,Kerafast,EMU101,pre-expansion,1:400
Iterative expansion microscopy,Chang 2017,goat anti-chicken (secondary),secondary,ThermoFisher,A-11039,pre-expansion,10 µg/µL
Iterative expansion microscopy,Chang 2017,goat anti-rat (secondary),secondary,ThermoFisher,A-11081,pre-expansion,10 µg/µL
Iterative expansion microscopy,Chang 2017,"donkey anti-rabbit (secondary, Alexa-647)",secondary,ThermoFisher,A-31573,pre-expansion,1:100; used in STORM at 20 µg/µL and 13.3 µg/mL
Iterative expansion microscopy,Chang 2017,donkey anti-rabbit (Jackson ImmunoResearch),secondary,Jackson ImmunoResearch,711-005-152,pre-expansion,10 µg/µL (cells/neurons); 20 µg/µL (tissue slices) when used as DNA-conjugated secondary
Iterative expansion microscopy,Chang 2017,donkey anti-chicken (Jackson ImmunoResearch),secondary,Jackson ImmunoResearch,703-005-155,pre-expansion,10 µg/µL (as used for DNA-conjugation)
Iterative expansion microscopy,Chang 2017,donkey anti-rat (Jackson ImmunoResearch),secondary,Jackson ImmunoResearch,712-005-153,pre-expansion,10 µg/µL (as used for DNA-conjugation)
Iterative expansion microscopy,Chang 2017,donkey anti-guinea pig (Jackson ImmunoResearch),secondary,Jackson ImmunoResearch,706-005-148,pre-expansion,10 µg/µL (as used for DNA-conjugation)
Iterative expansion microscopy,Chang 2017,donkey anti-mouse (Jackson ImmunoResearch),secondary,Jackson ImmunoResearch,715-005-151,pre-expansion,10 µg/µL (as used for DNA-conjugation)
Morphological assessment of GABA and glutamate inputs to GnRH neurons in intact female mice using expansion microscopy,Yeo 2021,Anti-green fluorescent protein (chicken polyclonal),primary,Abcam,AB13970,pre-expansion,1:8000
Morphological assessment of GABA and glutamate inputs to GnRH neurons in intact female mice using expansion microscopy,Yeo 2021,Anti-synaptophysin 1 (guinea pig polyclonal),primary,Synaptic Systems,101 004,pre-expansion,1:800
Morphological assessment of GABA and glutamate inputs to GnRH neurons in intact female mice using expansion microscopy,Yeo 2021,Anti-vesicular glutamate transporter 2 (rabbit polyclonal),primary,Synaptic Systems,135 403,pre-expansion,1:800
Morphological assessment of GABA and glutamate inputs to GnRH neurons in intact female mice using expansion microscopy,Yeo 2021,Anti-vesicular GABA transporter (rabbit polyclonal),primary,Synaptic Systems,131 003,pre-expansion,1:800
Morphological assessment of GABA and glutamate inputs to GnRH neurons in intact female mice using expansion microscopy,Yeo 2021,Anti-gephyrin (guinea pig polyclonal),primary,Synaptic Systems,147 318,pre-expansion,1:800
Morphological assessment of GABA and glutamate inputs to GnRH neurons in intact female mice using expansion microscopy,Yeo 2021,Anti-Homer I (guinea pig polyclonal),primary,Synaptic Systems,160 004,pre-expansion,1:800
Morphological assessment of GABA and glutamate inputs to GnRH neurons in intact female mice using expansion microscopy,Yeo 2021,Goat anti-chicken (Alexa488-conjugate),secondary,Thermo Fisher Scientific,A-11039,pre-expansion,1:200
Morphological assessment of GABA and glutamate inputs to GnRH neurons in intact female mice using expansion microscopy,Yeo 2021,Goat anti-guinea pig (biotin-conjugated),secondary,Vector Laboratories,BA-7000,pre-expansion,1:200
Morphological assessment of GABA and glutamate inputs to GnRH neurons in intact female mice using expansion microscopy,Yeo 2021,Goat anti-rabbit (ATTO647N-conjugated),secondary,Sigma-Aldrich,40 839,pre-expansion,1:200
Measurement of expansion factor and distortion for expansion microscopy using isolated renal glomeruli as landmarks,Zhu 2021,chicken anti-vimentin antibody,primary,abcam,24525,pre-expansion,20 μg/mL
Measurement of expansion factor and distortion for expansion microscopy using isolated renal glomeruli as landmarks,Zhu 2021,Alexa Fluor 488 conjugated donkey anti-chicken antibody,secondary,Yeason,34606ES60,pre-expansion,
A detailed protocol for expansion microscopy of Paracentrotus lividus embryos and larvae: Incorporating decalcification for improved imaging,Sheard 2025,rabbit monoclonal anti-α-tubulin,primary,abcam,ab190573,pre-expansion,1:200
A detailed protocol for expansion microscopy of Paracentrotus lividus embryos and larvae: Incorporating decalcification for improved imaging,Sheard 2025,Alexa Fluor 488 anti-rabbit IgG,secondary,Thermo Fisher Scientific,A11008,pre-expansion,1:200
Light microscopy of proteins in their ultrastructural context,M’Saad 2020,monoclonal mouse anti-ɑ-tubulin (DM1α),primary,Sigma-Aldrich,T6199,post-expansion,1:250
Light microscopy of proteins in their ultrastructural context,M’Saad 2020,mouse monoclonal anti-ɑ-tubulin (MT antibody 1),primary,Sigma-Aldrich,T5168,pre-expansion,1:500
Light microscopy of proteins in their ultrastructural context,M’Saad 2020,rabbit anti-TOM20,primary,Abcam,ab78547,post-expansion,1:250
Light microscopy of proteins in their ultrastructural context,M’Saad 2020,rabbit polyclonal anti-polyglutamate chain (PolyE),primary,Adipogen,AG-25B-0030-C050,post-expansion,
Light microscopy of proteins in their ultrastructural context,M’Saad 2020,polyclonal rabbit anti-GFP,primary,Invitrogen,A11122,post-expansion,1:250
Light microscopy of proteins in their ultrastructural context,M’Saad 2020,ATTO647N-conjugated anti-mouse antibodies,secondary,Sigma-Aldrich,50185,post-expansion,1:250 (post-expansion); 1:1000 (in other experiments)
Light microscopy of proteins in their ultrastructural context,M’Saad 2020,ATTO647N-conjugated anti-rabbit antibodies,secondary,Sigma-Aldrich,40839,post-expansion,1:250
Light microscopy of proteins in their ultrastructural context,M’Saad 2020,ATTO594-conjugated anti-rabbit antibodies,secondary,Sigma-Aldrich,77671,post-expansion,1:500
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Rabbit anti-α-tubulin antibody (ab18251),primary,Abcam,ab18251,pre-expansion,1:500 (final concentration 2 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Rabbit anti-α-tubulin antibody (ab18251),primary,Abcam,ab18251,post-expansion,1:500 (final concentration 2 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Mouse anti-β-tubulin antibody,primary,Sigma-Aldrich,T8328,pre-expansion,1:200 (final concentration 10 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Mouse anti poly-glutamylated tubulin (mAb GT335),primary,Adipogen,AG-20B-0020,pre-expansion,1:500
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Alexa Fluor 647 F(ab')2 goat anti-rabbit IgG,secondary,Thermo Fisher Scientific,A-21246,pre-expansion,1:200 (final concentration 10 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Alexa Fluor 647 F(ab')2 goat anti-rabbit IgG,secondary,Thermo Fisher Scientific,A-21246,post-expansion,1:200 (final concentration 10 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Alexa Fluor 647 F(ab')2 goat anti-mouse IgG,secondary,Thermo Fisher Scientific,A-21235,,
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Alexa Fluor 532 goat anti-rabbit IgG (H+L),secondary,Thermo Fisher Scientific,A-11002,pre-expansion,1:200 (final concentration 10 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Alexa Fluor 532 goat anti-rabbit IgG (H+L),secondary,Thermo Fisher Scientific,A-11002,post-expansion,1:200 (final concentration 10 µg/ml)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,Alexa Fluor 532 goat anti-rabbit IgG (H+L),secondary,Thermo Fisher Scientific,A-11009,pre-expansion,1:200 (when used; listed as used in mixture)
Molecular resolution imaging by post-labeling expansion single-molecule localization microscopy (Ex-SMLM),Zwettler 2020,HMSiR 647-conjugated goat anti-rabbit IgG F(ab')2,secondary,Sigma-Aldrich,SAB3700946,post-expansion,
Multiplexed and scalable super-resolution imaging of three-dimensional protein localization in size-adjustable tissues,Ku 2016,"anti-GFP (Alexa Fluor 594-conjugated, Life Technologies A21312)",primary,Life Technologies,A21312,post-expansion,
Multiplexed and scalable super-resolution imaging of three-dimensional protein localization in size-adjustable tissues,Ku 2016,"anti-GFP (Alexa Fluor 647-conjugated, Life Technologies A31852)",primary,Life Technologies,A31852,post-expansion,
Multiplexed and scalable super-resolution imaging of three-dimensional protein localization in size-adjustable tissues,Ku 2016,Alexa Fluor 594-conjugated donkey anti-rabbit IgG,secondary,Abcam,ab150072,post-expansion,
Multiplexed and scalable super-resolution imaging of three-dimensional protein localization in size-adjustable tissues,Ku 2016,Alexa Fluor 647-conjugated donkey anti-rabbit IgG,secondary,Abcam,ab181347,post-expansion,
Multiplexed and scalable super-resolution imaging of three-dimensional protein localization in size-adjustable tissues,Ku 2016,Alexa Fluor 594-conjugated secondary (Abcam ab150152),secondary,Abcam,ab150152,,
Multiplexed and scalable super-resolution imaging of three-dimensional protein localization in size-adjustable tissues,Ku 2016,anti-tubulin (Abcam ab6160),primary,Abcam,ab6160,,
Nanoscale imaging of bacterial infections by sphingolipid expansion microscopy,Götz 2020,cHSP60 (anti-HSP60),primary,Santa Cruz,sc-57840,pre-expansion,1:1000 (Western blot); 1:200 (immunostaining)
Nanoscale imaging of bacterial infections by sphingolipid expansion microscopy,Götz 2020,β-actin,primary,Sigma,A5441,pre-expansion,"1:10,000"
Nanoscale imaging of bacterial infections by sphingolipid expansion microscopy,Götz 2020,anti-Prx3,primary,Origene,TA322470,pre-expansion,1:100
Nanoscale imaging of bacterial infections by sphingolipid expansion microscopy,Götz 2020,anti-CERT,primary,Abcam,ab72536,pre-expansion,1:100
Nanoscale imaging of bacterial infections by sphingolipid expansion microscopy,Götz 2020,anti-LPS,primary,Bio-Rad,MCA2718,pre-expansion,1:200
Nanoscale imaging of bacterial infections by sphingolipid expansion microscopy,Götz 2020,ATTO 647N ms (secondary),secondary,Rockland,610-156-121 S,pre-expansion,1:200
Nanoscale imaging of bacterial infections by sphingolipid expansion microscopy,Götz 2020,ATTO 647N rb (secondary),secondary,Sigma,40839,pre-expansion,1:200
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"TOM20 (rabbit polyclonal, Santa Cruz Biotech, sc-11415)",primary,Santa Cruz Biotech,sc-11415,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Collagen IV (mouse monoclonal, Santa Cruz Biotech, sc-59814)",primary,Santa Cruz Biotech,sc-59814,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Vimentin (chicken polyclonal, Abcam, ab24525)",primary,Abcam,ab24525,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"α-Tubulin (rabbit polyclonal, Abcam, ab15246)",primary,Abcam,ab15246,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"VDAC/porin (mouse monoclonal, Abcam, ab14734)",primary,Abcam,ab14734,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"KRT19 (rabbit polyclonal, Sigma-Aldrich, HPA002465)",primary,Sigma-Aldrich,HPA002465,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"ACTN4 (rabbit polyclonal, Sigma-Aldrich, HPA001873)",primary,Sigma-Aldrich,HPA001873,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Synaptopodin (guinea pig polyclonal, PROGEN Biotechnik, GP94-IN)",primary,PROGEN Biotechnik,GP94-IN,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Actin (smooth muscle) / ACTA2 (mouse monoclonal, Agilent Technologies, M085129-2)",primary,Agilent Technologies,M085129-2,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"IgD (goat polyclonal, SouthernBiotech, 2030-01)",primary,SouthernBiotech,2030-01,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"S100A8 (mouse monoclonal, Abcam, ab22506)",primary,Abcam,ab22506,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"MCT1 (chicken polyclonal, Sigma-Aldrich, AB1286-I)",primary,Sigma-Aldrich,AB1286-I,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Tom20 (rabbit polyclonal, Sigma-Aldrich, HPA011562)",primary,Sigma-Aldrich,HPA011562,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Nephrin (rabbit polyclonal, Santa Cruz Biotech, sc-376522)",primary,Santa Cruz Biotech,sc-376522,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"CASP3 (rabbit polyclonal, Sigma-Aldrich, HPA002643)",primary,Sigma-Aldrich,HPA002643,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"hFOXP3 (goat polyclonal, R & D Systems, AF3240)",primary,R & D Systems,AF3240,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Granzyme B (rabbit polyclonal, Sigma-Aldrich, HPA003418)",primary,Sigma-Aldrich,HPA003418,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Cytokeratin pan type I/II (mouse monoclonal, Invitrogen, MA5-13156)",primary,Invitrogen,MA5-13156,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"GFAP (chicken polyclonal, Abcam, ab4674)",primary,Abcam,ab4674,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"INA (rabbit polyclonal, Sigma-Aldrich, HPA008057)",primary,Sigma-Aldrich,HPA008057,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Homer1 (rabbit polyclonal, Sigma-Aldrich, HPA036522)",primary,Sigma-Aldrich,HPA036522,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"PSD95 (goat polyclonal, Abcam, ab12093)",primary,Abcam,ab12093,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Synaptophysin (rabbit polyclonal, Proteintech, 60191-1-Ig)",primary,Proteintech,60191-1-Ig,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Tyrosine hydroxylase (chicken polyclonal, Abcam, ab76442)",primary,Abcam,ab76442,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"ATPIF1 (rabbit polyclonal, MilliporeSigma, ABC137)",primary,MilliporeSigma,ABC137,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"CD8 (rabbit polyclonal, Abcam, ab85792)",primary,Abcam,ab85792,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"p24 (P24) (mouse monoclonal, Dako, M0857)",primary,Dako,M0857,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"PD-1 (goat polyclonal, R & D Systems, AF1086)",primary,R & D Systems,AF1086,pre-expansion,10 µg/ml (or manufacturer's instructions)
Nanoscale imaging of clinical specimens using conventional and rapid-expansion pathology,Bucur 2020,"Hsp60 (mouse monoclonal, Abcam, Ab59457)",primary,Abcam,Ab59457,pre-expansion,10 µg/ml (or manufacturer's instructions)
Geometry-preserving expansion microscopy microplates enable high-fidelity nanoscale distortion mapping,Seehra 2023,Anti-KDEL (rabbit),primary,Thermo Fisher Scientific,PA1-013,pre-expansion,1:500
